11/6/02,http://www.marketwatch.com/story/gold-limits-losses-in-toronto-2002-06-11,gold reversal buoys bay street,0,0,0,0,1,0,none
22/11/18,https://economictimes.indiatimes.com/markets/commodities/news/commodity-outlook-gold-may-find-it-tough-to-top-30920-level/articleshow/66746884.cms,"commodity outlook: gold may find it tough to top 30,920 level",0,0,0,1,0,1,none
19/9/05,http://www.marketwatch.com/story/gold-fields-up-46-at-1408-premarket-2005-09-19,gold fields up 4.6% at $14.08 premarket,1,0,0,0,1,0,positive
6/8/09,http://www.marketwatch.com/story/gold-reverses-gains-down-01-to-96310-an-ounce-2009-08-06,"gold reverses gains, down 0.1% to $963.10 an ounce",0,0,1,0,1,0,negative
21/11/16,https://www.thehindubusinessline.com/markets/gold/gold-bounces-off-512month-low-on-physical-buying/article9369929.ece,Gold bounces off 5-1/2-month low on physical buying,1,0,0,0,1,0,positive
30/6/17,http://www.marketwatch.com/story/gold-prices-end-the-first-half-of-the-year-roughly-79-higher-2017-06-30,Gold prices end the first half of the year roughly 7.9% higher,1,0,0,0,1,0,positive
10/2/12,https://www.moneycontrol.com/news/business/markets/-1845529.html,mcx goldguinea feb contract trading lower,0,0,1,0,1,0,negative
30/11/15,"http://www.investing.com/news/commodities-news/gold-gains-in-asia,-copper-jumps-as-china-pmi-surveys-mixed-373692","gold gains in asia, copper jumps as china pmi surveys mixed",1,0,0,1,1,0,positive
23/12/16,http://www.marketwatch.com/story/february-gold-up-370-or-03-at-113440oz-2016-12-23,"February gold up $3.70, or 0.3%, at $1,134.40/oz.",1,0,0,0,1,0,positive
7/1/13,https://www.moneycontrol.com/news/business/markets/-1701967.html,gold seen falling from 3-week high this week,0,0,1,0,1,0,negative
27/9/18,https://www.metalsdaily.com/link/284468/dominic-frisby-now-looks-like-a-good-time-to-buy-gold-but-you-need-to-watch-this-chart.htm,dominic frisby : now looks like a good time to buy gold - but you need to watch this chart,1,0,0,0,0,1,positive
3/3/17,https://www.thehindubusinessline.com/markets/gold/gold-heading-for-worst-week-since-november-on-rate-hike-worries/article9569012.ece,Gold heading for worst week since November on rate hike worries,0,0,1,0,1,0,negative
11/6/08,http://www.marketwatch.com/story/august-gold-up-760-at-87880-an-ounce-on-nymex-2008-06-11,august gold up $7.60 at $878.80 an ounce on nymex,1,0,0,0,1,0,positive
1/10/07,http://www.marketwatch.com/story/december-gold-down-1-at-749-an-ounce-on-nymex-2007-10-01,december gold down $1 at $749 an ounce on nymex,0,0,1,0,1,0,negative